title,description,url,image,publishedAt,source,Location
Where tech has got Covid-19 covered,"Last quarter, subscription revenues rose more than a fifth. Chinese start-ups are also suffering, reports our Beijing team, with the outbreak cutting off their access to funding. Already enduring a ...",https://www.ft.com/content/5400338c-5a55-11ea-a528-dd0f971febbc,,2020-02-28 10:21:00 UTC,"{'name': 'The Financial Times', 'url': 'https://www.ft.com'}",Beijing
"Urgent: Chinese, Cuban presidents discuss COVID-19 epidemic, bilateral ties over phone","BEIJING, Feb. 28 (Xinhua) -- Chinese President Xi Jinping talked over phone with his Cuban counterpart, Miguel Diaz-Canel, on Friday to compare notes on the ongoing COVID-19 epidemic and how to ...",http://www.china.org.cn/world/Off_the_Wire/2020-02/29/content_75756940.htm,,2020-02-28 08:58:00 UTC,"{'name': 'China Internet Information Center', 'url': 'http://www.china.org.cn'}",Beijing
CGTN: How China Mobilizes Whole Country to Contain Coronavirus Disease 2019 (COVID-19),"BEIJING--(BUSINESS WIRE)--CGTN recently looked back on China’s efforts to fight ... New confirmed cases in Wuhan started to decline by late February, in line with a nationwide downward trend of new ...",https://www.businesswire.com/news/home/20200228005126/en/CGTN-China-Mobilizes-Country-Coronavirus-Disease-2019,https://images.gnews.io/e8d376e664c3ff247d61172af2656548,2020-02-28 01:08:00 UTC,"{'name': 'Business Wire', 'url': 'https://www.businesswire.com'}",Beijing
Wuhan's war on COVID-19: How China mobilizes the whole country to contain the virus,"BEIJING, Feb. 28, 2020 /CNW/ -- CGTN recently looked back on China's efforts to fight the ongoing new coronavirus outbreak in a recent report and released an original video. A health crisis struck ...",https://www.benzinga.com/pressreleases/20/02/n15438122/wuhans-war-on-covid-19-how-china-mobilizes-the-whole-country-to-contain-the-virus,https://images.gnews.io/255bf50986baa88f2d4899a2d40702ff,2020-02-28 00:17:00 UTC,"{'name': 'Benzinga.com', 'url': 'https://www.benzinga.com'}",Beijing
"Baidu’s Q4 profits surge, warns of Covid-19 effect on Q1","2 min read The exterior of a Baidu building in Beijing on Oct. 30, 2019. (Image credit ... Context: A deadly new coronavirus, dubbed Covid-19, has had a profound impact on most businesses in China, as ...",https://technode.com/2020/02/28/baidus-q4-profits-surge-warns-of-covid-19-effect-on-q1/,https://images.gnews.io/79c6aec1478ee8e8019d09cd3752326e,2020-02-27 21:07:00 UTC,"{'name': 'TechNode', 'url': 'https://technode.com'}",Beijing
What the Numbers Tell us About the Dangers of COVID-19,"How many infected? Almost all of the confirmed cases so far have been in China, with about 3,000 scattered around the rest of the world. In China, Beijing changed the testing criteria multiple times, ...",https://www.voanews.com/science-health/coronavirus-outbreak/what-numbers-tell-us-about-dangers-covid-19,https://images.gnews.io/5cee0b5de4df9c39685c40574eddcba7,2020-02-27 19:29:00 UTC,"{'name': 'Voice of America', 'url': 'https://www.voanews.com'}",Beijing
CKGSB Survey Finds Over 60% of Chinese Entrepreneurs Are Doing Their Best to Stay Positive Amidst COVID-19 Outbreak,"BEIJING, Feb. 27, 2020 /PRNewswire/ — This survey was led by Dr. Zhang Xiaomeng ... Transportation/ Shipping/ Logistics, and Warehousing, at 76.19%, 70.73%, and 66.67% respectively. The three ...",https://virtual-strategy.com/2020/02/27/ckgsb-survey-finds-over-60-of-chinese-entrepreneurs-are-doing-their-best-to-stay-positive-amidst-covid-19-outbreak/,https://images.gnews.io/791242f5fce850a4427dad401d4daa1b,2020-02-27 18:59:00 UTC,"{'name': 'Virtual-Strategy', 'url': 'https://virtual-strategy.com'}",Beijing
How did COVID-19 patient leave Wuhan for Beijing?,"Deliveryman passes a package to a resident through locked gate in Beijing on February 5. Photo: Li Hao/GT A confirmed COVID-19 patient returned from Wuhan on Saturday to Beijing, leading to questions ...",http://www.globaltimes.cn/content/1180892.shtml,,2020-02-27 14:41:00 UTC,"{'name': 'Global Times', 'url': 'http://www.globaltimes.cn'}",Beijing
Beijing's 10 rules for curbing coronavirus in the workplace,"The city of Beijing recently released detailed guidelines for workplaces to avoid the spread of the novel coronavirus, or Covid-19, within offices and other places of business. Broadly speaking, the ...",https://www.msn.com/en-us/finance/other/beijings-10-rules-for-curbing-coronavirus-in-the-workplace/ar-BB10u3Ja,https://images.gnews.io/a864c1ad0989c713da9b5e8efbb51633,2020-02-27 11:39:00 UTC,"{'name': 'Quartz on MSN.com', 'url': 'https://www.msn.com'}",Beijing
Beijing’s city government issued 10 anti-coronavirus rules for workplaces,"Whether you work in a cubicle, café, or corner office. The city of Beijing recently released detailed guidelines for workplaces to avoid the spread of the novel coronavirus, or Covid-19, within ...",https://qz.com/work/1809121/beijings-10-rules-for-curbing-coronavirus-in-the-workplace/,https://images.gnews.io/5a186d7d039804d340244580f87f80b3,2020-02-27 10:55:00 UTC,"{'name': 'Quartz', 'url': 'https://qz.com'}",Beijing
"Coronavirus: What to know about COVID-19 in Illinois, how it's affecting Chicago area","The woman traveled to Wuhan, China and her husband later became sick. Both were treated at St. Alexius Medical Center in Hoffman Estates and later released to home monitoring. So what do we know about ...",https://abc7chicago.com/5973196/,https://images.gnews.io/994e061a8a6b27b9bcf9e6175220f607,2020-02-28 10:28:00 UTC,"{'name': 'ABC 7 Chicago', 'url': 'https://abc7chicago.com'}",Wuhan
The Coronavirus Collection: Fact-Checking COVID-19,"In late December 2019, a new coronavirus was discovered in the Chinese city of Wuhan. As the disease eventually dubbed COVID-19 spread from that region to the rest of the world, something else came ...",https://www.snopes.com/collections/new-coronavirus-collection/,https://images.gnews.io/aa141100cb02ee095ccac0c410091c2a,2020-02-28 09:07:00 UTC,"{'name': 'Snopes.com', 'url': 'https://www.snopes.com'}",Wuhan
Autopsies offer key clues for early stage COVID-19 patients,"Doctors check the CT image of a patient's lungs at Leishenshan (Thunder God Mountain) Hospital in Wuhan, capital of central China's Hubei Province on February 9, 2020. Photo: Xinhua Autopsies show ...",https://www.globaltimes.cn/content/1181121.shtml,,2020-02-28 09:01:00 UTC,"{'name': 'Global Times', 'url': 'https://www.globaltimes.cn'}",Wuhan
Coronavirus Now: Daily COVID-19 Updates for February 28,"There are now concerns the U.S. might experience a recession because of the virus. As of February 28, 83,371 people have been confirmed to have COVID-19 (also known as the Wuhan coronavirus), ...",https://heavy.com/news/2020/02/coronavirus-covid-19-cases-deaths-updates/,https://images.gnews.io/ef4bcf554a5a787c0ff5716ac2c68053,2020-02-28 08:19:00 UTC,"{'name': 'Heavy.com', 'url': 'https://heavy.com'}",Wuhan
What Covid-19 Teaches Us About Health,"Since it was initially detected in Wuhan City, Hubei, China, a novel coronavirus, recently named Covid-19, has become a global public health challenge. Over 80,000 cases have been identified around ...",https://www.psychologytoday.com/za/blog/talking-about-health/202002/what-covid-19-teaches-us-about-health,https://images.gnews.io/5364eaaf76ac07c635df6b1d092811c7,2020-02-28 08:16:00 UTC,"{'name': 'Psychology Today', 'url': 'https://www.psychologytoday.com'}",Wuhan
What Covid-19 Teaches Us About Health,"Since it was initially detected in Wuhan City, Hubei, China, a novel coronavirus, recently named Covid-19, has become a global public health challenge. Over 80,000 cases have been identified around ...",https://www.psychologytoday.com/us/blog/talking-about-health/202002/what-covid-19-teaches-us-about-health,https://images.gnews.io/5364eaaf76ac07c635df6b1d092811c7,2020-02-28 08:16:00 UTC,"{'name': 'Psychology Today', 'url': 'https://www.psychologytoday.com'}",Wuhan
Wuhan's war on COVID-19: How China mobilizes the whole country to contain the virus,"New confirmed cases in Wuhan started to decline by late February, in line with a nationwide downward trend of new infections. Throughout China's battle against COVID-19, Chinese scientists and health ...",https://www.yahoo.com/news/wuhans-war-covid-19-china-090200472.html,https://images.gnews.io/0ab1e770d03946a64b735061de45f1af,2020-02-28 05:43:00 UTC,"{'name': 'YAHOO!', 'url': 'https://www.yahoo.com'}",Wuhan
Scientists Detail Early Lung Infection in COVID-19 Patients,"... a small group of clinicians from the Zhongnan Hospital of Wuhan University in Wuhan, China. “Since both patients did not exhibit symptoms of pneumonia at the time of surgery, these changes likely ...",https://www.india.com/lifestyle/scientists-detail-early-lung-infection-in-covid-19-patients-3956508/,https://images.gnews.io/c9343bd2aa89d4e15f22c6a3f27d1002,2020-02-28 04:46:00 UTC,"{'name': 'India.com', 'url': 'https://www.india.com'}",Wuhan
CGTN: How China Mobilizes Whole Country to Contain Coronavirus Disease 2019 (COVID-19),"BEIJING--(BUSINESS WIRE)--CGTN recently looked back on China’s efforts to fight ... New confirmed cases in Wuhan started to decline by late February, in line with a nationwide downward trend of new ...",https://www.businesswire.com/news/home/20200228005126/en/CGTN-China-Mobilizes-Country-Coronavirus-Disease-2019,https://images.gnews.io/e8d376e664c3ff247d61172af2656548,2020-02-28 01:08:00 UTC,"{'name': 'Business Wire', 'url': 'https://www.businesswire.com'}",Wuhan
Wuhan's war on COVID-19: How China mobilizes the whole country to contain the virus,"BEIJING, Feb. 28, 2020 /CNW/ -- CGTN recently looked back on China's efforts to fight the ongoing new coronavirus outbreak in a recent report and released an original video. A health crisis struck ...",https://www.benzinga.com/pressreleases/20/02/n15438122/wuhans-war-on-covid-19-how-china-mobilizes-the-whole-country-to-contain-the-virus,https://images.gnews.io/255bf50986baa88f2d4899a2d40702ff,2020-02-28 00:17:00 UTC,"{'name': 'Benzinga.com', 'url': 'https://www.benzinga.com'}",Wuhan
COVID-19 Coronavirus update from the UH President,"While there have been no identified cases of COVID-19 in Hawaiʻi, we must all protect ourselves and those around us as we actively prepare for the likelihood that the virus will emerge here. Even as ...",https://www.hawaii.edu/news/2020/02/27/covid-19-update-uh-president/,https://images.gnews.io/524e84755a3cce910278e5e14ce58724,2020-02-28 10:26:00 UTC,"{'name': 'University of Hawaii', 'url': 'https://www.hawaii.edu'}",Us
Shares in Corona beer plummet as COVID-19 outbreak spreads,"Shares in Corona’s US parent company, Constellation Brands, fell 8% on Thursday as the popular beer failed to escape association with the coronavirus as its spreads to Europe. Constellation’s stock ...",https://www.msn.com/en-ie/money/other/shares-in-corona-beer-plummet-as-covid-19-outbreak-spreads/ar-BB10wUBp?li=BBr5Fap,https://images.gnews.io/9e469369832c2afcce4cd233c57a433c,2020-02-28 10:01:00 UTC,"{'name': 'Extra.ie on MSN.com', 'url': 'https://www.msn.com'}",Us
NYC Resident Being Tested for COVID-19 After Italy Trip; Number of Investigations Expected to Rise,"""Viruses don’t respect borders and this broader definition will help us cast a wider net to detect the virus ... While health experts maintain that the risk of getting the COVID-19 virus is low, ...",https://www.nbcnewyork.com/news/coronavirus/nyc-resident-being-tested-for-coronavirus-after-recent-italy-trip-officials/2305557/,https://images.gnews.io/2ee81b6f517b61bbfa2c77c49f275cf5,2020-02-28 09:44:00 UTC,"{'name': 'NBC New York', 'url': 'https://www.nbcnewyork.com'}",Us
"COVID-19: US, European companies in China still face challenges in getting back to work",Surveys of foreign businesses released this week indicate many people in China still haven't returned to work.,https://www.cnbc.com/2020/02/28/coronavirus-challenges-for-us-european-firms-getting-back-to-work-in-china.html,https://images.gnews.io/e8c8fe53fe20dbba905ef5aa48126826,2020-02-28 09:14:00 UTC,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}",Us
Washington will begin testing for COVID-19,"Subscribe today to support local journalism and help us to build a stronger community. In a series of votes on amendments, senators approved doubling, to $10 million, the money set aside to help the ...",https://www.columbian.com/news/2020/feb/28/washington-will-begin-testing-for-covid-19/,https://images.gnews.io/910b3c98419eea341e462405c8b60f7a,2020-02-28 09:05:00 UTC,"{'name': 'The Columbian', 'url': 'https://www.columbian.com'}",Us
What Covid-19 Teaches Us About Health,"Since it was initially detected in Wuhan City, Hubei, China, a novel coronavirus, recently named Covid-19, has become a global public health challenge. Over 80,000 cases have been identified around ...",https://www.psychologytoday.com/za/blog/talking-about-health/202002/what-covid-19-teaches-us-about-health,https://images.gnews.io/5364eaaf76ac07c635df6b1d092811c7,2020-02-28 08:16:00 UTC,"{'name': 'Psychology Today', 'url': 'https://www.psychologytoday.com'}",Us
What Covid-19 Teaches Us About Health,"Since it was initially detected in Wuhan City, Hubei, China, a novel coronavirus, recently named Covid-19, has become a global public health challenge. Over 80,000 cases have been identified around ...",https://www.psychologytoday.com/us/blog/talking-about-health/202002/what-covid-19-teaches-us-about-health,https://images.gnews.io/5364eaaf76ac07c635df6b1d092811c7,2020-02-28 08:16:00 UTC,"{'name': 'Psychology Today', 'url': 'https://www.psychologytoday.com'}",Us
