province,locationName,locationEnglishName,confirmedCount,suspectedCount,curedCount,deadCount,updateTime,Country/Region
Chongqing,重庆市,Chongqing,576,0.0,570,6,2020-03-15 11:37:10.875,China
Gansu,甘肃省,Gansu,132,0.0,91,2,2020-03-15 10:03:21.082,China
Jiangsu,江苏省,Jiangsu,631,0.0,631,0,2020-03-15 09:47:45.850,China
Sichuan,四川省,Sichuan,539,0.0,515,3,2020-03-15 09:41:11.222,China
Guangdong,广东省,Guangdong,1357,0.0,1303,8,2020-03-15 09:33:29.555,China
Zhejiang,浙江省,Zhejiang,1231,0.0,1211,1,2020-03-15 09:23:34.402,China
Beijing,北京市,Beijing,442,0.0,353,8,2020-03-15 09:11:28.429,China
Hubei,湖北省,Hubei,67794,0.0,54278,3085,2020-03-15 08:49:13.790,China
Heilongjiang,黑龙江省,Heilongjiang,482,0.0,453,13,2020-03-15 08:15:18.221,China
Gansu,甘肃省,Gansu,132,0.0,89,2,2020-03-15 07:57:42.402,China
Shanghai,上海市,Shanghai,353,0.0,324,3,2020-03-15 07:53:21.051,China
Chongqing,重庆市,Chongqing,576,0.0,569,6,2020-03-15 07:34:42.863,China
Yunnan,云南省,Yunnan,174,0.0,172,2,2020-03-15 07:25:57.909,China
Chongqing,万州区,Wanzhou District,118,0.0,114,4,2020-03-15 11:37:10.875,China
Chongqing,江北区,Jiangbei District,28,0.0,28,0,2020-03-15 11:37:10.875,China
Chongqing,云阳县,Yunyang County,25,0.0,25,0,2020-03-15 11:37:10.875,China
Chongqing,合川区,Hechuan District,23,0.0,23,0,2020-03-15 11:37:10.875,China
Chongqing,綦江区,Qijiang District,23,0.0,23,0,2020-03-15 11:37:10.875,China
Chongqing,长寿区,Changshou District,22,0.0,22,0,2020-03-15 11:37:10.875,China
Chongqing,奉节县,Fengjie County,22,0.0,22,0,2020-03-15 11:37:10.875,China
Chongqing,九龙坡区,Jiulongpo District,21,0.0,20,1,2020-03-15 11:37:10.875,China
Chongqing,开州区,Kaizhou District,21,0.0,20,1,2020-03-15 11:37:10.875,China
Chongqing,忠县,Zhong County,21,0.0,21,0,2020-03-15 11:37:10.875,China
Chongqing,渝中区,Yuzhong District,20,0.0,20,0,2020-03-15 11:37:10.875,China
Chongqing,垫江县,Dianjiang County,20,0.0,20,0,2020-03-15 11:37:10.875,China
Chongqing,潼南区,Tongnan District,18,0.0,18,0,2020-03-15 11:37:10.875,China
Chongqing,渝北区,Yubei District,17,0.0,17,0,2020-03-15 11:37:10.875,China
Chongqing,两江新区,Liangjiang New Area,17,0.0,17,0,2020-03-15 11:37:10.875,China
Chongqing,南岸区,Nan'an District,15,0.0,15,0,2020-03-15 11:37:10.875,China
Chongqing,石柱县,Shizhu Tujia Autonomous County,15,0.0,15,0,2020-03-15 11:37:10.875,China
Chongqing,大足区,Dazu District,14,0.0,14,0,2020-03-15 11:37:10.875,China
Chongqing,巫溪县,Wuxi County,14,0.0,14,0,2020-03-15 11:37:10.875,China
Chongqing,铜梁区,Tongliang District,10,0.0,10,0,2020-03-15 11:37:10.875,China
Chongqing,丰都县,Fengdu County,10,0.0,10,0,2020-03-15 11:37:10.875,China
Chongqing,巫山县,Wushan County,10,0.0,10,0,2020-03-15 11:37:10.875,China
Chongqing,沙坪坝区,Shapingba District,9,0.0,9,0,2020-03-15 11:37:10.875,China
Chongqing,璧山区,Bishan District,9,0.0,9,0,2020-03-15 11:37:10.875,China
Chongqing,荣昌区,Rongchang District,9,0.0,9,0,2020-03-15 11:37:10.875,China
Chongqing,大渡口区,Dadukou District,7,0.0,7,0,2020-03-15 11:37:10.875,China
Chongqing,巴南区,Banan District,6,0.0,6,0,2020-03-15 11:37:10.875,China
Chongqing,涪陵区,Fuling District,5,0.0,5,0,2020-03-15 11:37:10.875,China
Chongqing,永川区,Yongchuan District,5,0.0,5,0,2020-03-15 11:37:10.875,China
Chongqing,江津区,Jiangjin District,4,0.0,4,0,2020-03-15 11:37:10.875,China
Chongqing,梁平区,Liangping District,4,0.0,4,0,2020-03-15 11:37:10.875,China
Chongqing,高新区,Chongqing High-tech Zone,4,0.0,4,0,2020-03-15 11:37:10.875,China
Chongqing,黔江区,Qianjiang Tujia and Miao Autonomous County,2,0.0,2,0,2020-03-15 11:37:10.875,China
Chongqing,城口县,Chengkou County,2,0.0,2,0,2020-03-15 11:37:10.875,China
Chongqing,彭水县,Pengshui Miao and Tujia Autonomous County,2,0.0,2,0,2020-03-15 11:37:10.875,China
Chongqing,武隆区,Wulong District,1,0.0,1,0,2020-03-15 11:37:10.875,China
Chongqing,秀山县,Xiushan Tujia and Miao Autonomous County,1,0.0,1,0,2020-03-15 11:37:10.875,China
Chongqing,酉阳县,Youyang Tujia and Miao Autonomous County,1,0.0,1,0,2020-03-15 11:37:10.875,China
Chongqing,万盛经开区,Wansheng District,1,0.0,1,0,2020-03-15 11:37:10.875,China
Gansu,境外输入人员,,41,0.0,2,0,2020-03-15 10:03:21.082,China
Gansu,兰州,Lanzhou,36,0.0,34,2,2020-03-15 10:03:21.082,China
Gansu,天水,Tianshui,12,0.0,12,0,2020-03-15 10:03:21.082,China
Gansu,平凉,Pingliang,9,0.0,9,0,2020-03-15 10:03:21.082,China
Gansu,定西,Dingxi,9,0.0,9,0,2020-03-15 10:03:21.082,China
Gansu,甘南,Gannan,8,0.0,8,0,2020-03-15 10:03:21.082,China
Gansu,白银,Baiyin,4,0.0,4,0,2020-03-15 10:03:21.082,China
Gansu,陇南,Longnan,4,0.0,4,0,2020-03-15 10:03:21.082,China
Gansu,庆阳,Qingyang,3,0.0,3,0,2020-03-15 10:03:21.082,China
Gansu,临夏,Linxia,3,0.0,3,0,2020-03-15 10:03:21.082,China
Gansu,张掖,Zhangye,2,0.0,2,0,2020-03-15 10:03:21.082,China
Gansu,金昌,Jinchang,1,0.0,1,0,2020-03-15 10:03:21.082,China
Jiangsu,南京,Nanjing,93,0.0,93,0,2020-03-15 09:47:45.850,China
Jiangsu,苏州,Suzhou,87,0.0,87,0,2020-03-15 09:47:45.850,China
Jiangsu,徐州,Xuzhou,79,0.0,79,0,2020-03-15 09:47:45.850,China
Jiangsu,淮安,Huainan,66,0.0,66,0,2020-03-15 09:47:45.850,China
