city_name,北京市,天津市,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海市,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆市,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,省直辖县级行政区划,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,省直辖县级行政区划,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,省直辖县级行政区划,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划
北京市,,4.24,22.7,7.07,4.32,3.46,3.91,6.89,0.44,0.62,0.58,2.01,0.77,0.96,4.03,4.74,1.02,2.02,0.33,0.39,2.61,0.44,0.94,0.72,0.5,0.25,2.21,4.38,0.55,1.46,1.71,2.79,6.27,3.89,7.95,4.89,17.48,22.15,17.66,4.96,28.1,5.07,0.85,3.75,2.29,3.13,2.8,1.28,1.11,5.03,1.96,5.76,0.94,1.4,1.35,0.59,4.31,1.9,0.55,3.21,1.67,1.93,2.07,2.15,0.36,0.74,0.95,1.12,1.83,1.55,2.88,1.65,1.07,2.64,0.46,0.68,1.05,1.98,2.74,0.88,2.3,1.12,2.36,1.64,1.54,0.99,2.64,2.61,1.53,2.82,4.32,3.31,2.75,1.38,2.27,2.58,2.71,3.68,1.88,1.08,2.21,0.4,0.17,0.66,0.15,0.17,0.27,0.37,0.2,0.36,0.4,0.12,0.29,0.25,0.33,0.22,1.09,0.18,,0.28,0.46,0.19,0.32,0.51,0.38,0.42,0.64,0.82,0.39,0.68,0.5,0.55,0.84,0.75,0.51,0.92,0.7,0.79,0.65,0.07,0.62,0.29,0.19,0.44,0.28,0.24,0.15,0.49,0.12,0.37,0.32,0.32,0.24,0.55,0.89,0.48,0.36,0.63,0.33,0.36,0.22,0.82,0.77,0.91,1.12,1.6,1.28,0.96,1.25,1.9,1.66,0.88,0.59,0.74,1.87,2.47,1.02,2.3,0.61,1.08,1.23,1.17,2.1,1.07,1.51,1.23,2.28,0.78,0.58,1.48,4.32,1.44,3.15,2.23,2.51,,0.44,0.24,0.13,0.25,0.52,0.25,0.09,0.27,0.17,0.14,0.19,0.56,0.08,,0.27,0.36,0.13,0.53,0.26,0.61,1.23,1.34,0.47,0.65,0.58,1.09,0.76,0.81,0.15,0.07,0.26,0.15,0.06,0.09,0.07,0.16,0.13,0.17,,0.06,0.08,,0.22,,,0.08,,0.05,0.13,0.11,0.1,0.4,0.07,0.31,,0.05,0.02,0.04,,0.05,,0.06,0.08,0.28,1.17,,,0.17,0.2,0.05,0.24,0.05,0.24,0.51,0.19,0.06,0.27,0.18,0.13,0.13,0.09,0.38,0.17,0.51,0.05,,0.14,0.41,0.16,0.23,0.11,0.21,0.75,0.21,0.09,0.17,0.06,0.21,0.08,0.05,0.12,0.09,0.44,0.03,0.03,0.04,,,0.09,0.2,0.05,,,,,,,,,,0.44,0.59,1.66,0.46,1.65,0.44,1.44,0.94,1.55,0.73,0.96,0.5,0.54,0.66,3.66,1.3,1.84,1.06,0.7,1.9,0.62,4.96,3.61,0.14,0.22,,,0.09,0.2,,,0.14,0.64,0.32,0.16,0.26,0.29,0.51,0.31,,,0.47,,0.59,0.54,0.56,1.37,0.6,0.54,0.04,0.22,
天津市,2.75,,12.94,1.77,1.73,1.38,1.62,2.88,0.24,0.29,,0.45,,,2.59,0.9,0.14,,,,0.63,0.15,0.21,,0.19,,0.47,0.88,0.58,0.86,0.27,1.4,16.6,2.86,8.3,2.26,2.49,2.58,3.59,18.67,8.96,3.06,0.3,0.93,0.65,1.01,0.39,0.49,0.34,0.55,0.52,0.86,0.58,0.56,0.68,0.56,1.14,1.05,0.13,1.76,0.5,1.0,0.65,0.41,0.22,0.27,0.45,0.43,0.72,0.5,0.42,0.54,0.36,1.08,0.23,0.53,0.42,0.82,1.35,0.37,0.89,0.49,0.96,1.57,0.42,0.48,0.55,0.67,0.7,1.43,0.95,0.82,0.43,0.6,0.92,0.59,0.85,0.76,1.25,0.8,1.47,0.1,0.09,0.3,,,0.15,0.26,0.07,0.34,0.08,0.09,0.12,0.06,,,,,,,,,0.24,,0.15,0.06,0.12,0.1,0.07,,0.07,0.06,0.19,0.15,0.07,0.67,0.13,0.1,0.1,,,0.1,,,,,0.06,,,,,0.25,0.1,,,0.09,,,,,,0.42,0.43,0.35,0.22,0.74,0.61,0.52,0.55,0.88,0.69,0.38,0.19,0.47,3.56,1.11,1.75,0.8,0.17,0.22,0.27,0.13,0.52,0.16,0.32,0.34,0.97,0.1,0.09,0.26,0.4,0.23,0.24,0.43,0.43,,0.04,0.09,,,0.06,,0.04,0.06,,0.05,,,,,0.05,,,,,,,0.08,,,,,0.04,,,,,,,,,,,,,,0.05,,,,,,,,,,,0.1,,,0.06,,,,,,,,,0.09,0.16,,,0.05,,0.02,,0.03,0.06,,0.07,,0.07,,,,0.03,,,,0.03,,,0.03,,,,,0.02,,,0.08,,0.07,,,0.12,0.03,0.08,0.03,,0.09,0.03,,0.27,,,,0.1,,,,,,,,0.14,,0.14,0.1,0.24,,0.19,0.25,0.3,0.06,0.15,0.1,0.36,0.16,0.35,0.38,,0.32,0.14,1.29,0.12,1.41,0.29,,0.3,,0.2,,,0.25,,,0.35,0.57,0.12,0.07,0.05,,0.31,,,,,0.09,,,0.21,,0.23,,,
河北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,0.3,0.24,0.4,1.05,0.44,1.01,1.15,2.27,,8.66,5.77,7.35,1.33,2.77,2.04,3.41,0.74,1.02,0.4,0.6,1.42,0.46,1.02,0.7,0.82,5.13,1.03,1.8,1.01,0.9,1.44,0.26,0.21,0.37,0.54,0.13,0.17,0.26,0.12,0.1,,0.14,0.26,0.18,0.29,0.42,0.39,0.16,0.14,0.8,0.23,0.73,0.1,0.18,0.2,0.14,0.2,0.19,0.06,0.53,0.33,0.09,0.16,0.07,,0.26,0.57,0.24,0.45,0.31,0.42,0.33,0.36,0.55,0.18,0.11,0.09,0.34,0.17,0.34,0.63,0.23,0.25,0.43,,0.21,0.13,1.5,0.66,0.66,0.52,1.24,1.11,0.5,0.73,0.71,0.23,0.63,0.74,0.37,1.03,1.25,1.93,1.76,1.62,7.27,10.21,1.75,2.55,4.64,2.49,1.67,3.04,3.69,1.58,2.17,2.71,9.26,2.95,2.54,2.01,1.91,27.98,4.02,1.94,1.18,2.84,3.36,4.13,1.34,1.7,1.24,2.23,2.9,1.86,3.14,1.97,2.65,1.97,2.0,5.05,0.54,0.22,0.53,0.68,0.15,0.43,1.34,0.41,1.45,0.83,0.74,0.89,1.48,0.89,1.54,0.77,0.76,0.87,1.91,2.04,0.22,0.42,0.28,2.05,0.64,0.59,0.3,0.74,0.62,0.87,0.4,0.26,2.04,0.24,0.3,0.1,1.47,0.36,1.46,1.58,1.21,0.55,0.58,0.64,0.68,0.62,0.8,0.6,1.19,1.56,2.34,2.38,1.9,1.39,,0.2,0.09,0.32,0.15,0.73,,0.04,0.1,0.19,0.33,,,0.13,,0.19,0.21,0.17,0.33,0.25,0.45,0.28,0.6,0.22,0.17,0.37,0.19,0.19,0.39,0.17,0.14,0.25,0.15,0.19,0.07,0.07,0.48,0.11,0.15,0.09,0.23,0.33,0.24,0.22,0.03,,,0.17,0.21,0.08,0.14,0.17,0.48,0.25,0.26,0.15,0.12,0.2,0.11,,0.06,0.11,0.06,0.11,0.15,0.5,,,0.18,0.22,0.11,0.14,0.21,0.23,0.28,0.31,0.16,0.2,0.24,0.12,0.29,0.21,0.24,0.23,0.43,0.09,0.7,0.09,0.35,0.26,0.18,0.32,0.24,0.14,0.37,0.18,0.19,0.2,0.25,0.16,0.1,0.16,0.2,1.41,0.19,0.11,0.11,0.16,0.11,0.63,0.11,0.34,,,3.13,,,,,,,0.26,0.19,0.51,0.44,0.54,0.08,0.93,0.06,0.5,0.26,0.5,0.5,0.54,0.43,1.56,0.27,0.53,0.19,0.33,0.84,0.55,1.02,1.04,0.42,0.52,,,,,,,0.21,0.33,0.4,0.22,0.15,0.14,0.63,0.31,,,0.27,,0.09,0.15,0.28,0.1,0.2,0.54,0.14,,
江苏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
