country,region,confirmed_infected,dead,recovered,timestamp
France,Guyane,5.0,,,2020-03-05
France,Hauts-de-France,74.0,4.0,,2020-03-05
France,La Réunion,0.0,,,2020-03-05
France,Martinique,0.0,,,2020-03-05
France,Mayotte,0.0,,,2020-03-05
France,Normandie,6.0,,,2020-03-05
France,Nouvelle-Aquitaine,8.0,,,2020-03-05
France,Occitanie,11.0,,,2020-03-05
France,Pays de la Loire,8.0,,,2020-03-05
France,Provence-Alpes-Côte d'Azur,26.0,0.0,,2020-03-05
France,Île-de-France,77.0,,,2020-03-05
France,Auvergne-Rhône-Alpes,87.0,0.0,,2020-03-06
France,Bourgogne-Franche-Comté,80.0,0.0,,2020-03-06
France,Bretagne,34.0,,,2020-03-06
France,Centre-Val de Loire,11.0,,,2020-03-06
France,Corse,5.0,0.0,0.0,2020-03-06
France,Grand Est,136.0,0.0,,2020-03-06
France,Guadeloupe,0.0,,,2020-03-06
France,Guyane,5.0,,,2020-03-06
France,Hauts-de-France,97.0,,,2020-03-06
France,La Réunion,0.0,,,2020-03-06
France,Martinique,2.0,,,2020-03-06
France,Mayotte,0.0,,,2020-03-06
France,Normandie,11.0,,,2020-03-06
France,Nouvelle-Aquitaine,11.0,,,2020-03-06
France,Occitanie,18.0,,,2020-03-06
France,Pays de la Loire,16.0,,,2020-03-06
France,Provence-Alpes-Côte d'Azur,31.0,0.0,,2020-03-06
France,Île-de-France,131.0,1.0,,2020-03-06
France,Auvergne-Rhône-Alpes,125.0,0.0,,2020-03-07
France,Bourgogne-Franche-Comté,129.0,0.0,,2020-03-07
France,Bretagne,47.0,,,2020-03-07
France,Centre-Val de Loire,16.0,,,2020-03-07
France,Corse,19.0,0.0,0.0,2020-03-07
France,Grand Est,250.0,,,2020-03-07
France,Guadeloupe,0.0,,,2020-03-07
France,Guyane,5.0,,,2020-03-07
France,Hauts-de-France,173.0,,,2020-03-07
France,La Réunion,0.0,,,2020-03-07
France,Martinique,2.0,,,2020-03-07
France,Mayotte,0.0,,,2020-03-07
France,Normandie,11.0,1.0,,2020-03-07
France,Nouvelle-Aquitaine,17.0,,,2020-03-07
France,Occitanie,36.0,,1.0,2020-03-07
France,Pays de la Loire,18.0,,,2020-03-07
France,Provence-Alpes-Côte d'Azur,38.0,0.0,,2020-03-07
France,Île-de-France,161.0,1.0,,2020-03-07
France,Auvergne-Rhône-Alpes,146.0,1.0,,2020-03-08
France,Bourgogne-Franche-Comté,112.0,0.0,,2020-03-08
France,Bretagne,59.0,,,2020-03-08
France,Centre-Val de Loire,17.0,,,2020-03-08
France,Grand Est,262.0,3.0,45.0,2020-03-08
France,Normandie,22.0,1.0,,2020-03-08
France,Nouvelle-Aquitaine,29.0,,,2020-03-08
France,Pays de la Loire,24.0,,,2020-03-08
France,Provence-Alpes-Côte d'Azur,52.0,0.0,,2020-03-08
France,Île-de-France,226.0,1.0,,2020-03-08
France,Auvergne-Rhône-Alpes,182.0,3.0,,2020-03-09
France,Bourgogne-Franche-Comté,119.0,0.0,,2020-03-09
France,Bretagne,71.0,,,2020-03-09
France,Corse,38.0,1.0,2.0,2020-03-09
France,Grand Est,310.0,4.0,,2020-03-09
France,Hauts-de-France,181.0,15.0,,2020-03-09
France,Normandie,25.0,1.0,,2020-03-09
France,Nouvelle-Aquitaine,39.0,,,2020-03-09
France,Occitanie,60.0,,2.0,2020-03-09
France,Provence-Alpes-Côte d'Azur,72.0,0.0,,2020-03-09
France,Île-de-France,283.0,1.0,,2020-03-09
France,Auvergne-Rhône-Alpes,227.0,3.0,,2020-03-10
France,Bourgogne-Franche-Comté,147.0,1.0,5.0,2020-03-10
France,Bretagne,81.0,,,2020-03-10
France,Centre-Val de Loire,18.0,,,2020-03-10
France,Corse,42.0,2.0,2.0,2020-03-10
France,Grand Est,464.0,5.0,,2020-03-10
France,Guadeloupe,0.0,,,2020-03-10
France,Guyane,5.0,,,2020-03-10
France,Hauts-de-France,222.0,16.0,,2020-03-10
France,La Réunion,0.0,,,2020-03-10
France,Martinique,3.0,,,2020-03-10
France,Mayotte,0.0,,,2020-03-10
France,Normandie,39.0,1.0,,2020-03-10
France,Nouvelle-Aquitaine,55.0,,,2020-03-10
France,Occitanie,61.0,,,2020-03-10
France,Pays de la Loire,27.0,,,2020-03-10
France,Provence-Alpes-Côte d'Azur,90.0,0.0,,2020-03-10
France,Île-de-France,334.0,4.0,,2020-03-10
France,Auvergne-Rhône-Alpes,264.0,3.0,,2020-03-11
France,Bourgogne-Franche-Comté,165.0,3.0,8.0,2020-03-11
France,Bretagne,94.0,1.0,,2020-03-11
France,Centre-Val de Loire,20.0,,,2020-03-11
France,Corse,51.0,3.0,2.0,2020-03-11
France,Grand Est,587.0,9.0,,2020-03-11
France,Guadeloupe,0.0,,,2020-03-11
France,Guyane,6.0,0.0,,2020-03-11
France,Hauts-de-France,263.0,,,2020-03-11
France,La Réunion,1.0,,,2020-03-11
France,Martinique,3.0,,,2020-03-11
France,Mayotte,0.0,,,2020-03-11
France,Normandie,57.0,1.0,,2020-03-11
France,Nouvelle-Aquitaine,72.0,,,2020-03-11
France,Occitanie,118.0,,8.0,2020-03-11
France,Pays de la Loire,34.0,,,2020-03-11
France,Provence-Alpes-Côte d'Azur,112.0,0.0,6.0,2020-03-11
France,Île-de-France,512.0,4.0,,2020-03-11
France,Auvergne-Rhône-Alpes,333.0,7.0,,2020-03-12
France,Bourgogne-Franche-Comté,219.0,5.0,11.0,2020-03-12
France,Bretagne,120.0,3.0,,2020-03-12
France,Centre-Val de Loire,30.0,,,2020-03-12
France,Corse,64.0,3.0,2.0,2020-03-12
France,Grand Est,699.0,,,2020-03-12
France,Guadeloupe,0.0,,,2020-03-12
France,Guyane,6.0,,,2020-03-12
France,Hauts-de-France,349.0,20.0,,2020-03-12
France,La Réunion,3.0,,,2020-03-12
France,Martinique,4.0,,,2020-03-12
France,Mayotte,0.0,,,2020-03-12
France,Normandie,68.0,1.0,,2020-03-12
France,Nouvelle-Aquitaine,88.0,,,2020-03-12
France,Occitanie,150.0,,11.0,2020-03-12
France,Pays de la Loire,42.0,,,2020-03-12
France,Provence-Alpes-Côte d'Azur,151.0,0.0,7.0,2020-03-12
France,Île-de-France,605.0,4.0,,2020-03-12
France,Auvergne-Rhône-Alpes,416.0,,,2020-03-13
France,Bourgogne-Franche-Comté,272.0,5.0,15.0,2020-03-13
France,Bretagne,157.0,3.0,,2020-03-13
France,Centre-Val de Loire,33.0,,,2020-03-13
France,Corse,85.0,5.0,2.0,2020-03-13
France,Grand Est,911.0,21.0,,2020-03-13
France,Guadeloupe,1.0,,,2020-03-13
France,Guyane,6.0,,,2020-03-13
France,Hauts-de-France,397.0,26.0,,2020-03-13
France,La Réunion,5.0,,,2020-03-13
France,Martinique,6.0,,,2020-03-13
France,Mayotte,0.0,,,2020-03-13
France,Normandie,97.0,1.0,,2020-03-13
France,Nouvelle-Aquitaine,115.0,,,2020-03-13
France,Occitanie,175.0,,17.0,2020-03-13
France,Pays de la Loire,56.0,,,2020-03-13
France,Provence-Alpes-Côte d'Azur,212.0,0.0,11.0,2020-03-13
France,Île-de-France,876.0,,,2020-03-13
France,Auvergne-Rhône-Alpes,454.0,12.0,,2020-03-14
France,Bourgogne-Franche-Comté,340.0,6.0,20.0,2020-03-14
France,Bretagne,182.0,3.0,,2020-03-14
France,Centre-Val de Loire,54.0,,,2020-03-14
France,Corse,106.0,5.0,2.0,2020-03-14
France,Grand Est,1085.0,24.0,,2020-03-14
France,Guadeloupe,5.0,,,2020-03-14
France,Guyane,7.0,0.0,,2020-03-14
France,Hauts-de-France,466.0,29.0,,2020-03-14
France,La Réunion,6.0,,,2020-03-14
France,Martinique,10.0,,,2020-03-14
France,Mayotte,1.0,,,2020-03-14
France,Normandie,127.0,1.0,,2020-03-14
France,Nouvelle-Aquitaine,133.0,,,2020-03-14
France,Occitanie,214.0,,17.0,2020-03-14
France,Pays de la Loire,82.0,,,2020-03-14
France,Provence-Alpes-Côte d'Azur,281.0,,,2020-03-14
France,Île-de-France,1240.0,,155.0,2020-03-14
France,Auvergne-Rhône-Alpes,523.0,18.0,,2020-03-15
France,Bourgogne-Franche-Comté,412.0,6.0,25.0,2020-03-15
France,Bretagne,207.0,3.0,,2020-03-15
France,Centre-Val de Loire,71.0,,,2020-03-15
France,Corse,115.0,5.0,2.0,2020-03-15
France,Grand Est,1378.0,45.0,,2020-03-15
France,Guadeloupe,6.0,,,2020-03-15
France,Guyane,11.0,0.0,,2020-03-15
France,Hauts-de-France,507.0,,,2020-03-15
France,La Réunion,9.0,,,2020-03-15
France,Martinique,15.0,,,2020-03-15
France,Mayotte,1.0,,,2020-03-15
France,Normandie,143.0,1.0,,2020-03-15
France,Nouvelle-Aquitaine,152.0,2.0,,2020-03-15
France,Occitanie,254.0,1.0,23.0,2020-03-15
France,Pays de la Loire,99.0,,,2020-03-15
France,Provence-Alpes-Côte d'Azur,330.0,,,2020-03-15
France,Île-de-France,1209.0,,,2020-03-15
France,Auvergne-Rhône-Alpes,618.0,20.0,,2020-03-16
France,Bourgogne-Franche-Comté,507.0,6.0,28.0,2020-03-16
France,Bretagne,233.0,3.0,,2020-03-16
France,Centre-Val de Loire,90.0,,,2020-03-16
France,Corse,126.0,7.0,2.0,2020-03-16
France,Grand Est,1543.0,51.0,,2020-03-16
