,_id,date_collected,population,county_name,state_name,zipcodes,AIAN,NHPI,above_poverty,asian_rate,below_poverty,black_rate,median_age,other_race,white_rate,population_density_people/mi^2,Hispanic_Latino,num_of_hospital,ICUbeds,num_of_beds,population_older_60,State_County
2826,5e842d7ab07be20fa70e05ef,7/1/19,236842,Arlington County,Virginia,"['22201', '22202', '22203', '22204', '22205', '22206', '22207', '22209', '22210', '22211', '22212', '22213', '22214', '22215', '22216', '22217', '22218', '22219', '22222', '22223', '22225', '22226', '22227', '22229', '22230', '22234', '22240', '22241', '22242', '22243', '22244', '22245', '22246']",0.005645817,0.00301868,0.959921384,0.097359812,0.040078616,0.089865738,34.7,0.055868744,0.698464557,9110.213712,0.157906038,2,32,334,32701,Arlington-Virginia
1870,5e842d7ab07be20fa70e0233,7/1/19,476143,Richmond County,New York,"['10301', '10302', '10303', '10304', '10305', '10306', '10307', '10308', '10309', '10310', '10311', '10312', '10313', '10314']",0.000947123,0.00041371,0.911171713,0.102301865,0.088828287,0.098908184,40.1,0.041263894,0.730788212,8277.825491,0.186669299,3,114,1187,101941,Richmond-New York
1216,5e842d7ab07be20fa70dffa5,7/1/19,593490,Baltimore city,Maryland,"['21201', '21202', '21205', '21206', '21210', '21211', '21212', '21213', '21214', '21215', '21216', '21217', '21218', '21223', '21224', '21225', '21229', '21230', '21231', '21239', '21251']",0.002655624,0.000101246,0.86126065,0.025709757,0.13873935,0.616874829,35.5,0.022146242,0.304195056,7331.86199,0.054873484,,,,,Baltimore-Maryland
2925,5e842d7ab07be20fa70e0652,7/1/19,14617,Falls Church city,Virginia,['22046'],,,,,,,,,,7142.638344,,,,,,Falls Church-Virginia
2935,5e842d7ab07be20fa70e065c,7/1/19,17478,Manassas Park city,Virginia,[],,,,,,,,,,6923.039553,,,,,,Manassas Park-Virginia
1780,5e842d7ab07be20fa70e01d9,7/1/19,798975,Essex County,New Jersey,"['07003', '07004', '07006', '07007', '07009', '07017', '07018', '07019', '07021', '07028', '07039', '07040', '07041', '07042', '07043', '07044', '07050', '07051', '07052', '07068', '07078', '07079', '07101', '07102', '07103', '07104', '07105', '07106', '07107', '07108', '07109', '07110', '07111', '07112', '07114', '07175', '07182', '07184', '07188', '07189', '07191', '07192', '07193', '07194', '07195', '07198', '07199']",0.001345392,0.00037636,0.877682664,0.055574936,0.122317336,0.398684867,37.8,0.110407156,0.409839366,6336.819561,0.235466079,8,267,4447,146732,Essex-New Jersey
610,5e842d7ab07be20fa70dfd47,7/1/19,5150233,Cook County,Illinois,"['60004', '60005', '60006', '60007', '60008', '60009', '60011', '60016', '60017', '60018', '60019', '60022', '60025', '60026', '60029', '60038', '60043', '60053', '60055', '60056', '60062', '60065', '60067', '60068', '60070', '60074', '60076', '60077', '60078', '60082', '60090', '60091', '60093', '60094', '60095', '60104', '60107', '60130', '60131', '60133', '60141', '60153', '60154', '60155', '60159', '60160', '60161', '60162', '60163', '60164', '60165', '60168', '60169', '60171', '60173', '60176', '60179', '60192', '60193', '60194', '60195', '60196', '60201', '60202', '60203', '60204', '60208', '60209', '60290', '60301', '60302', '60303', '60304', '60305', '60402', '60406', '60409', '60411', '60412', '60415', '60418', '60419', '60422', '60425', '60426', '60428', '60429', '60430', '60438', '60439', '60443', '60445', '60452', '60453', '60454', '60455', '60456', '60457', '60458', '60459', '60461', '60462', '60463', '60464', '60465', '60466', '60467', '60469', '60471', '60472', '60473', '60476', '60477', '60478', '60480', '60482', '60487', '60499', '60501', '60513', '60525', '60526', '60534', '60546', '60558', '60601', '60602', '60603', '60604', '60605', '60606', '60607', '60608', '60609', '60610', '60611', '60612', '60613', '60614', '60615', '60616', '60617', '60618', '60619', '60620', '60621', '60622', '60623', '60624', '60625', '60626', '60628', '60629', '60630', '60631', '60632', '60633', '60634', '60636', '60637', '60638', '60639', '60640', '60641', '60642', '60643', '60644', '60645', '60646', '60647', '60649', '60651', '60652', '60653', '60654', '60655', '60656', '60657', '60659', '60660', '60661', '60663', '60664', '60666', '60668', '60669', '60670', '60673', '60674', '60675', '60677', '60678', '60679', '60680', '60681', '60682', '60684', '60685', '60686', '60687', '60688', '60689', '60690', '60691', '60693', '60694', '60695', '60696', '60697', '60699', '60701', '60706', '60707', '60712', '60714', '60803', '60804', '60805', '60827']",0.002819037,0.000438182,0.898446248,0.075191685,0.101553752,0.232528642,37,0.090269594,0.572153461,5450.38436,0.255384381,58,1606,18259,1005046,Cook-Illinois
1793,5e842d7ab07be20fa70e01e6,7/1/19,556341,Union County,New Jersey,"['07016', '07023', '07027', '07033', '07036', '07060', '07061', '07062', '07063', '07065', '07066', '07076', '07081', '07083', '07088', '07090', '07091', '07092', '07201', '07202', '07203', '07204', '07205', '07206', '07207', '07208', '07901', '07902', '07922', '07974']",0.006606734,0,0.947430695,0.055715532,0.052569305,0.213933094,38.8,0.168098096,0.531074226,5413.651262,0.323330353,5,80,1521,106249,Union-New Jersey
1597,5e842d7ab07be20fa70e0122,7/1/19,300576,St. Louis city,Missouri,"['63101', '63102', '63103', '63104', '63106', '63107', '63108', '63109', '63110', '63111', '63112', '63113', '63115', '63116', '63118', '63120', '63139', '63147', '63155']",0.002261935,0.001426505,0.83048248,0.035920195,0.16951752,0.453721131,36.4,0.008909054,0.471040622,4868.134093,0.041305913,,,,,St. Louis-Missouri
1857,5e842d7ab07be20fa70e0226,7/1/19,1356924,Nassau County,New York,"['11001', '11003', '11010', '11020', '11021', '11022', '11023', '11024', '11025', '11026', '11027', '11030', '11040', '11041', '11042', '11043', '11044', '11050', '11051', '11052', '11053', '11054', '11055', '11096', '11099', '11501', '11507', '11509', '11510', '11514', '11516', '11518', '11520', '11530', '11531', '11535', '11536', '11542', '11545', '11547', '11548', '11549', '11550', '11551', '11552', '11553', '11554', '11555', '11556', '11557', '11558', '11559', '11560', '11561', '11563', '11565', '11566', '11568', '11569', '11570', '11571', '11572', '11575', '11576', '11577', '11579', '11580', '11581', '11582', '11590', '11592', '11594', '11595', '11596', '11597', '11598', '11599', '11709', '11710', '11714', '11732', '11735', '11736', '11737', '11753', '11756', '11758', '11762', '11765', '11771', '11773', '11774', '11783', '11791', '11793', '11797', '11801', '11802', '11803', '11804', '11815', '11819', '11853', '11854', '11855']",0.004581317,0.000804657,0.958583823,0.099907755,0.041416177,0.119443322,41.7,0.071791882,0.676305616,4767.276818,0.17231362,10,461,4343,318040,Nassau-New York
