,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime,Latitude,Longitude,GbProv_x,Prov_CH_x,ProvEN,Total,三级甲等医院,专科医院,传染病医院,医疗保健服务场所,卫生院,口腔医院,妇科医院,急救中心,整形美容,疾病预防,眼科医院,精神病医院,综合医院,耳鼻喉医院,肿瘤医院,胸科医院,脑科医院,诊所,骨科医院,Unnamed: 0_y,Population,Land_Area_mi2,Temperature_03_12
59,59,59,202,湖北省,Hubei,42,宜昌,Yichang,420500.0,65914,0,26403,2682,931,0,429,31,35:31.3,30.69744648,111.2925492,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,179.0,"1,548,000",8239.0,283.73
60,60,60,203,湖北省,Hubei,42,仙桃,Xiantao,429004.0,65914,0,26403,2682,575,0,388,19,35:31.3,30.33358775,113.4496094,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,,"589,000",980.0,283.53
61,61,61,204,湖北省,Hubei,42,潜江,Qianjiang,429005.0,65914,0,26403,2682,198,0,99,9,35:31.3,30.40835793,112.9054741,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,,"512,000",774.0,284.39
62,62,62,205,湖北省,Hubei,42,天门,Tianmen,429006.0,65914,0,26403,2682,496,0,332,13,35:31.3,30.66962183,113.1724092,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,,"870,000",1012.0,284.39
63,63,63,207,湖北省,Hubei,42,神农架林区,Shennongjia,429021.0,65914,0,26403,2682,11,0,10,0,35:31.3,31.75049601,110.6825249,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,,"76,140",1256.0,275.3
64,64,64,208,湖北省,Hubei,42,恩施州,Enshi Tujia and Miao Autonomous Prefecture,422800.0,65914,0,26403,2682,251,0,172,4,35:31.3,30.27793958,109.4945926,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,,"3,290,000",9290.0,282.93
65,65,65,209,江西省,Jiangxi,36,吉安,Ji'an,360800.0,935,0,790,1,22,0,15,0,09:24.4,27.11972683,115.0005107,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,,"83,750",9762.0,284.28
66,66,66,210,江西省,Jiangxi,36,萍乡,Pingxiang,360300.0,935,0,790,1,33,0,23,0,09:24.4,27.62839271,113.86149640000002,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,131.0,"929,000",1476.0,283.37
67,67,67,211,江西省,Jiangxi,36,宜春,Yichun,360900.0,935,0,790,1,106,0,96,0,09:24.4,27.82085642,114.42356370000002,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,65.0,"918,000",7196.0,285.11
68,68,68,211,江西省,Jiangxi,36,宜春,Yichun,360900.0,935,0,790,1,106,0,96,0,09:24.4,27.82085642,114.42356370000002,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,66.0,"918,000",7196.0,285.11
69,69,69,211,江西省,Jiangxi,36,宜春,Yichun,360900.0,935,0,790,1,106,0,96,0,09:24.4,27.82085642,114.42356370000002,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,137.0,"918,000",7196.0,285.11
70,70,70,211,江西省,Jiangxi,36,宜春,Yichun,360900.0,935,0,790,1,106,0,96,0,09:24.4,27.82085642,114.42356370000002,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,138.0,"918,000",7196.0,285.11
71,71,71,211,江西省,Jiangxi,36,宜春,Yichun,360900.0,935,0,790,1,106,0,96,0,09:24.4,27.82085642,114.42356370000002,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,65.0,"598,000",15065.0,285.11
72,72,72,211,江西省,Jiangxi,36,宜春,Yichun,360900.0,935,0,790,1,106,0,96,0,09:24.4,27.82085642,114.42356370000002,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,66.0,"598,000",15065.0,285.11
73,73,73,211,江西省,Jiangxi,36,宜春,Yichun,360900.0,935,0,790,1,106,0,96,0,09:24.4,27.82085642,114.42356370000002,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,137.0,"598,000",15065.0,285.11
74,74,74,211,江西省,Jiangxi,36,宜春,Yichun,360900.0,935,0,790,1,106,0,96,0,09:24.4,27.82085642,114.42356370000002,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,138.0,"598,000",15065.0,285.11
75,75,75,212,江西省,Jiangxi,36,抚州,Fuzhou,361000.0,935,0,790,1,72,0,61,0,09:24.4,27.95489225,116.3645388,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,119.0,"3,686,000",4702.0,286.5
76,76,76,212,江西省,Jiangxi,36,抚州,Fuzhou,361000.0,935,0,790,1,72,0,61,0,09:24.4,27.95489225,116.3645388,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,120.0,"3,686,000",4702.0,286.5
77,77,77,212,江西省,Jiangxi,36,抚州,Fuzhou,361000.0,935,0,790,1,72,0,61,0,09:24.4,27.95489225,116.3645388,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,139.0,"3,686,000",4702.0,286.5
78,78,78,212,江西省,Jiangxi,36,抚州,Fuzhou,361000.0,935,0,790,1,72,0,61,0,09:24.4,27.95489225,116.3645388,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,140.0,"3,686,000",4702.0,286.5
79,79,79,212,江西省,Jiangxi,36,抚州,Fuzhou,361000.0,935,0,790,1,72,0,61,0,09:24.4,27.95489225,116.3645388,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,119.0,"990,000",7258.0,286.5
80,80,80,212,江西省,Jiangxi,36,抚州,Fuzhou,361000.0,935,0,790,1,72,0,61,0,09:24.4,27.95489225,116.3645388,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,120.0,"990,000",7258.0,286.5
81,81,81,212,江西省,Jiangxi,36,抚州,Fuzhou,361000.0,935,0,790,1,72,0,61,0,09:24.4,27.95489225,116.3645388,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,139.0,"990,000",7258.0,286.5
82,82,82,212,江西省,Jiangxi,36,抚州,Fuzhou,361000.0,935,0,790,1,72,0,61,0,09:24.4,27.95489225,116.3645388,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,140.0,"990,000",7258.0,286.5
83,83,83,213,江西省,Jiangxi,36,九江,Jiujiang,360400.0,935,0,790,1,118,0,91,0,09:24.4,29.71134056,116.0075349,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,132.0,"913,000",7268.0,283.8
84,84,84,214,江西省,Jiangxi,36,新余,Xinyu,360500.0,935,0,790,1,130,0,118,0,09:24.4,27.8235787,114.9235347,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,133.0,"858,000",1227.0,284.83
85,85,85,215,江西省,Jiangxi,36,上饶,Shangrao,361100.0,935,0,790,1,123,0,109,0,09:24.4,28.46062592,117.9494596,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,141.0,"1,029,000",8800.0,285.81
86,86,86,216,江西省,Jiangxi,36,南昌,Nanchang,360100.0,935,0,790,1,230,0,198,0,09:24.4,28.6894553,115.8645894,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,129.0,"3,598,000",2778.0,284.51
87,87,87,217,江西省,Jiangxi,36,鹰潭,Yingtan,360600.0,935,0,790,1,18,0,12,0,09:24.4,28.26578706,117.0755754,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,134.0,"1,125,000",1372.0,286.96
88,88,88,218,江西省,Jiangxi,36,赣州,Ganzhou,360700.0,935,0,790,1,76,0,63,1,09:24.4,25.8351761,114.9405034,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,135.0,"1,285,000",15205.0,286.06
89,89,89,219,江西省,Jiangxi,36,赣江新区,Ganjiang New,0.0,935,0,790,1,1,0,1,0,09:24.4,28.46574304,115.8502478,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,,"702,000",176.0,284.51
90,90,90,220,江西省,Jiangxi,36,景德镇,Jingdezhen,360200.0,935,0,790,1,6,0,3,0,09:24.4,29.27424771,117.1845764,36,江西省,Jiangxi,21929,289,18.0,33,7097,2631,1680,61,149,143,526,145,19.0,2089,33.0,17.0,16.0,6,6864,113,130.0,"396,000",2029.0,285.75
91,91,91,223,北京市,Beijing,11,朝阳区,Chaoyang,110105.0,410,0,257,7,70,0,0,0,21:26.7,39.92637452,116.4495587,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,48.0,"539,000",7605.0,272.19
92,92,92,224,北京市,Beijing,11,海淀区,Haidian,110108.0,410,0,257,7,62,0,0,0,21:26.7,39.96548984,116.3054341,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
93,93,93,225,北京市,Beijing,11,西城区,Xicheng,110102.0,410,0,257,7,53,0,0,0,21:26.7,39.91812361,116.3725136,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
94,94,94,227,北京市,Beijing,11,大兴区,Daxing,110115.0,410,0,257,7,39,0,2,0,21:26.7,39.73255524,116.3486252,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
95,95,95,228,北京市,Beijing,11,昌平区,Changping,110114.0,410,0,257,7,29,0,0,0,21:26.7,40.22641337,116.2376179,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
96,96,96,229,北京市,Beijing,11,通州区,Tongzhou,110112.0,410,0,257,7,19,0,1,0,21:26.7,39.91601712,116.6634154,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
97,97,97,230,北京市,Beijing,11,丰台区,Fengtai,110106.0,410,0,257,7,42,0,3,0,21:26.7,39.8649372,116.29240190000002,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
98,98,98,231,北京市,Beijing,11,石景山区,Shijingshan,110107.0,410,0,257,7,14,0,1,0,21:26.7,39.91135381,116.2296127,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
99,99,99,232,北京市,Beijing,11,东城区,Dongcheng,110101.0,410,0,257,7,13,0,1,0,21:26.7,39.93482727,116.422401,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
100,100,100,233,北京市,Beijing,11,顺义区,Shunyi,110113.0,410,0,257,7,10,0,0,0,21:26.7,40.13635076,116.6614243,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
101,101,101,234,北京市,Beijing,11,怀柔区,Huairou,110116.0,410,0,257,7,7,0,0,0,21:26.7,40.3226184,116.63838590000002,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
102,102,102,235,北京市,Beijing,11,密云区,Miyun,110118.0,410,0,257,7,7,0,0,0,21:26.7,40.38217566,116.849547,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
103,103,103,236,北京市,Beijing,11,门头沟区,Mentougou,110109.0,410,0,257,7,3,0,2,0,21:26.7,39.94614672,116.1076036,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
104,104,104,237,北京市,Beijing,11,延庆区,Yanqing,110119.0,410,0,257,7,1,0,0,0,21:26.7,40.46216897,115.9816316,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
105,105,105,239,北京市,Beijing,11,房山区,Fangshan,110111.0,410,0,257,7,16,0,3,0,21:26.7,39.75432584,116.1494438,11,北京市,Beijing,5790,877,6.0,27,886,847,874,47,202,466,140,97,21.0,425,30.0,49.0,11.0,16,651,118,,,,272.19
106,106,106,240,甘肃省,Gansu,62,平凉,Pingliang,620800.0,91,0,82,2,9,0,6,0,26:43.8,35.54923205,106.6714423,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,,"380,000",4323.0,266.19
107,107,107,241,甘肃省,Gansu,62,兰州,Lanzhou,620100.0,91,0,82,2,36,0,32,2,26:43.8,36.06723469,103.8405212,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,308.0,"3,081,000",5135.0,264.63
108,108,108,242,甘肃省,Gansu,62,定西,Dingxi,621100.0,91,0,82,2,9,0,8,0,26:43.8,35.58683293,104.6324201,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,,3031000,7571.0,264.05
109,109,109,243,甘肃省,Gansu,62,白银,Baiyin,620400.0,91,0,82,2,4,0,3,0,26:43.8,36.55082533,104.1444508,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,311.0,"405,000",8185.0,264.63
110,110,110,244,甘肃省,Gansu,62,庆阳,Qingyang,621000.0,91,0,82,2,3,0,2,0,26:43.8,35.71521598,107.6493857,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,,"2,211,000",10471.0,272.16
111,111,111,245,甘肃省,Gansu,62,天水,Tianshui,620500.0,91,0,82,2,12,0,12,0,26:43.8,34.58741188,105.7314167,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,312.0,"765,000",5521.0,266.32
112,112,112,246,甘肃省,Gansu,62,甘南,Gannan,623000.0,91,0,82,2,8,0,8,0,26:43.8,34.98913991,102.9175847,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,,"689,132",15791.0,260.17
113,113,113,247,甘肃省,Gansu,62,陇南,Longnan,621200.0,91,0,82,2,4,0,4,0,26:43.8,33.40662023,104.928575,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,,"2,568,000",10425.0,267.81
114,114,114,248,甘肃省,Gansu,62,临夏,Linxia,622900.0,91,0,82,2,3,0,3,0,26:43.8,35.60756218,103.2163906,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,,"1,947,000",3154.0,263.03
115,115,115,249,甘肃省,Gansu,62,张掖,Zhangye,620700.0,91,0,82,2,2,0,2,0,26:43.8,38.93206601,100.4564115,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,,"443,000",16216.0,264.27
116,116,116,250,甘肃省,Gansu,62,金昌,Jinchang,620300.0,91,0,82,2,1,0,1,0,26:43.8,38.52582009,102.1946057,62,甘肃省,Gansu,13525,93,6.0,21,3945,1148,959,50,74,64,138,84,14.0,1041,11.0,20.0,5.0,7,5790,55,310.0,"228,561",3435.0,262.66
117,117,117,252,安徽省,Anhui,34,宣城,Xuancheng,341800.0,990,0,821,6,6,0,4,0,33:48.7,30.94660155,118.7655342,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,118.0,"467,000",4765.0,284.28
118,118,118,253,安徽省,Anhui,34,黄山,Huangshan,341000.0,990,0,821,6,9,0,6,0,33:48.7,29.72188979,118.3454373,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,109.0,"398,000",3787.0,284.19
119,119,119,254,安徽省,Anhui,34,滁州,Chuzhou,341100.0,990,0,821,6,13,0,10,0,33:48.7,32.26127087,118.3394061,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,110.0,"522,000",5221.0,287.46
120,120,120,255,安徽省,Anhui,34,池州,Chizhou,341700.0,990,0,821,6,17,0,13,0,33:48.7,30.67088379,117.498421,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,117.0,"458,000",3638.0,284.44
121,121,121,256,安徽省,Anhui,34,安庆,Anqing,340800.0,990,0,821,6,83,0,79,0,33:48.7,30.53095657,117.0636039,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,108.0,"727,000",5247.0,284.6
122,122,122,257,安徽省,Anhui,34,淮北,Huaibei,340600.0,990,0,821,6,27,0,22,0,33:48.7,33.961656299999994,116.8045373,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,106.0,"1,142,000",1058.0,273.93
123,123,123,258,安徽省,Anhui,34,淮南,Huainan,340400.0,990,0,821,6,27,0,21,0,33:48.7,32.6318474,117.0063889,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,104.0,"1,438,000",2136.0,277.62
124,124,124,259,安徽省,Anhui,34,马鞍山,Ma'anshan,340500.0,990,0,821,6,38,0,30,0,33:48.7,31.6762656,118.5135796,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,,"11,821,000",1561.0,285.5
125,125,125,260,安徽省,Anhui,34,宿州,Suzhou,341300.0,990,0,821,6,41,0,33,0,33:48.7,33.65209533,116.9705439,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,78.0,"7,070,000",3277.0,274.44
126,126,126,260,安徽省,Anhui,34,宿州,Suzhou,341300.0,990,0,821,6,41,0,33,0,33:48.7,33.65209533,116.9705439,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,79.0,"7,070,000",3277.0,274.44
127,127,127,260,安徽省,Anhui,34,宿州,Suzhou,341300.0,990,0,821,6,41,0,33,0,33:48.7,33.65209533,116.9705439,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,112.0,"7,070,000",3277.0,274.44
128,128,128,260,安徽省,Anhui,34,宿州,Suzhou,341300.0,990,0,821,6,41,0,33,0,33:48.7,33.65209533,116.9705439,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,113.0,"7,070,000",3277.0,274.44
129,129,129,260,安徽省,Anhui,34,宿州,Suzhou,341300.0,990,0,821,6,41,0,33,0,33:48.7,33.65209533,116.9705439,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,78.0,"1,170,000",3838.0,274.44
130,130,130,260,安徽省,Anhui,34,宿州,Suzhou,341300.0,990,0,821,6,41,0,33,0,33:48.7,33.65209533,116.9705439,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,79.0,"1,170,000",3838.0,274.44
131,131,131,260,安徽省,Anhui,34,宿州,Suzhou,341300.0,990,0,821,6,41,0,33,0,33:48.7,33.65209533,116.9705439,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,112.0,"1,170,000",3838.0,274.44
132,132,132,260,安徽省,Anhui,34,宿州,Suzhou,341300.0,990,0,821,6,41,0,33,0,33:48.7,33.65209533,116.9705439,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,113.0,"1,170,000",3838.0,274.44
133,133,133,261,安徽省,Anhui,34,亳州,Bozhou,341600.0,990,0,821,6,108,0,99,0,33:48.7,33.8506427,115.7844632,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,116.0,"742,000",3291.0,275.17
134,134,134,262,安徽省,Anhui,34,芜湖,Wuhu,340200.0,990,0,821,6,34,0,30,0,33:48.7,31.35853666,118.4394314,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,102.0,"1,870,000",2335.0,282.5
135,135,135,263,安徽省,Anhui,34,蚌埠,Bengbu,340300.0,990,0,821,6,160,0,136,5,33:48.7,32.921523699999995,117.3955133,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,103.0,"902,000",2298.0,275.2
136,136,136,264,安徽省,Anhui,34,六安,Lu'an,341500.0,990,0,821,6,69,0,53,0,33:48.7,31.74145082,116.5264097,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,,"5,882,000",7102.0,282.07
137,137,137,265,安徽省,Anhui,34,铜陵,Tongling,340700.0,990,0,821,6,29,0,28,0,33:48.7,30.95123324,117.8184768,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,107.0,"697,000",1129.0,283.8
138,138,138,266,安徽省,Anhui,34,阜阳,Fuyang,341200.0,990,0,821,6,155,0,119,0,33:48.7,32.89606099,115.8204361,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,111.0,"1,036,000",3774.0,275.68
139,139,139,267,安徽省,Anhui,34,合肥,Hefei,340100.0,990,0,821,6,174,0,138,1,33:48.7,31.82657783,117.2334427,34,安徽省,Anhui,29207,464,18.0,53,10199,4078,1682,114,156,266,358,204,28.0,2847,47.0,45.0,9.0,10,8491,138,101.0,"4,242,000",4415.0,283.77
140,140,140,268,黑龙江省,Heilongjiang,23,伊春,Yichun,230700.0,480,0,283,13,1,0,1,0,35:55.7,47.73331846,128.84754640000003,23,黑龙江省,Heilongjiang,18647,349,31.0,58,6792,1263,2487,113,129,174,297,190,12.0,1778,20.0,29.0,16.0,15,4730,164,65.0,"918,000",7196.0,250.99
141,141,141,268,黑龙江省,Heilongjiang,23,伊春,Yichun,230700.0,480,0,283,13,1,0,1,0,35:55.7,47.73331846,128.84754640000003,23,黑龙江省,Heilongjiang,18647,349,31.0,58,6792,1263,2487,113,129,174,297,190,12.0,1778,20.0,29.0,16.0,15,4730,164,66.0,"918,000",7196.0,250.99
142,142,142,268,黑龙江省,Heilongjiang,23,伊春,Yichun,230700.0,480,0,283,13,1,0,1,0,35:55.7,47.73331846,128.84754640000003,23,黑龙江省,Heilongjiang,18647,349,31.0,58,6792,1263,2487,113,129,174,297,190,12.0,1778,20.0,29.0,16.0,15,4730,164,137.0,"918,000",7196.0,250.99
143,143,143,268,黑龙江省,Heilongjiang,23,伊春,Yichun,230700.0,480,0,283,13,1,0,1,0,35:55.7,47.73331846,128.84754640000003,23,黑龙江省,Heilongjiang,18647,349,31.0,58,6792,1263,2487,113,129,174,297,190,12.0,1778,20.0,29.0,16.0,15,4730,164,138.0,"918,000",7196.0,250.99
144,144,144,268,黑龙江省,Heilongjiang,23,伊春,Yichun,230700.0,480,0,283,13,1,0,1,0,35:55.7,47.73331846,128.84754640000003,23,黑龙江省,Heilongjiang,18647,349,31.0,58,6792,1263,2487,113,129,174,297,190,12.0,1778,20.0,29.0,16.0,15,4730,164,65.0,"598,000",15065.0,250.99
145,145,145,268,黑龙江省,Heilongjiang,23,伊春,Yichun,230700.0,480,0,283,13,1,0,1,0,35:55.7,47.73331846,128.84754640000003,23,黑龙江省,Heilongjiang,18647,349,31.0,58,6792,1263,2487,113,129,174,297,190,12.0,1778,20.0,29.0,16.0,15,4730,164,66.0,"598,000",15065.0,250.99
146,146,146,268,黑龙江省,Heilongjiang,23,伊春,Yichun,230700.0,480,0,283,13,1,0,1,0,35:55.7,47.73331846,128.84754640000003,23,黑龙江省,Heilongjiang,18647,349,31.0,58,6792,1263,2487,113,129,174,297,190,12.0,1778,20.0,29.0,16.0,15,4730,164,137.0,"598,000",15065.0,250.99
